Role,Name,Start,End
Dueling,Dueling,1808-01-01,1809-12-30
Dueling,Dueling,1811-01-01,1816-12-30
Dueling,Dueling,1818-01-01,1825-12-30
Dueling,Dueling,1827-01-01,1831-12-30
Dueling,Dueling,1835-01-01,1846-12-30
Native Americans,Native Americans,1786-01-01,1786-12-30
Native Americans,Native Americans,1793-01-01,1795-12-30
Native Americans,Native Americans,1803-01-01,1808-12-30
Native Americans,Native Americans,1810-01-01,1810-12-30
Native Americans,Native Americans,1812-01-01,1847-12-30
Shays's Rebellion,Shays's Rebellion,1786-01-01,1788-12-30
Shays's Rebellion,Shays's Rebellion,1837-01-01,1837-12-30
Shays's Rebellion,Shays's Rebellion,1839-01-01,1839-12-30
US Constitution,US Constitution,1787-01-01,1788-12-30
US Constitution,US Constitution,1803-01-01,1808-12-30
US Constitution,US Constitution,1810-01-01,1811-12-30
US Constitution,US Constitution,1813-01-01,1828-12-30
US Constitution,US Constitution,1830-01-01,1839-12-30
US Constitution,US Constitution,1841-01-01,1846-12-30
Anti-Federalists,Anti-Federalists,1788-01-01,1788-12-30
Slave Trade,Slave Trade,1789-01-01,1789-12-30
Slave Trade,Slave Trade,1802-01-01,1802-12-30
Slave Trade,Slave Trade,1804-01-01,1807-12-30
Slave Trade,Slave Trade,1812-01-01,1812-12-30
Slave Trade,Slave Trade,1814-01-01,1829-12-30
Slave Trade,Slave Trade,1831-01-01,1832-12-30
Slave Trade,Slave Trade,1835-01-01,1835-12-30
Slave Trade,Slave Trade,1837-01-01,1843-12-30
Slave Trade,Slave Trade,1845-01-01,1846-12-30
Bank of the United States,Bank of the United States,1791-01-01,1791-12-30
Bank of the United States,Bank of the United States,1802-01-01,1802-12-30
Bank of the United States,Bank of the United States,1809-01-01,1809-12-30
Bank of the United States,Bank of the United States,1813-01-01,1813-12-30
Bank of the United States,Bank of the United States,1816-01-01,1826-12-30
Bank of the United States,Bank of the United States,1829-01-01,1842-12-30
French Revolution,French Revolution,1793-01-01,1797-12-30
French Revolution,French Revolution,1801-01-01,1801-12-30
French Revolution,French Revolution,1804-01-01,1804-12-30
French Revolution,French Revolution,1809-01-01,1815-12-30
French Revolution,French Revolution,1817-01-01,1817-12-30
French Revolution,French Revolution,1834-01-01,1836-12-30
French Revolution,French Revolution,1839-01-01,1841-12-30
French Revolution,French Revolution,1846-01-01,1846-12-30
Haitian Revolution,Haitian Revolution,1793-01-01,1793-12-30
Jay Treaty,Jay Treaty,1794-01-01,1796-12-30
Jay Treaty,Jay Treaty,1803-01-01,1803-12-30
Jay Treaty,Jay Treaty,1805-01-01,1805-12-30
Jay Treaty,Jay Treaty,1807-01-01,1807-12-30
Jay Treaty,Jay Treaty,1810-01-01,1810-12-30
Jay Treaty,Jay Treaty,1814-01-01,1817-12-30
Jay Treaty,Jay Treaty,1833-01-01,1833-12-30
Jay Treaty,Jay Treaty,1841-01-01,1841-12-30
Jay Treaty,Jay Treaty,1845-01-01,1845-12-30
Federalist Party,Federalist Party,1795-01-01,1795-12-30
Federalist Party,Federalist Party,1802-01-01,1809-12-30
Federalist Party,Federalist Party,1811-01-01,1812-12-30
Federalist Party,Federalist Party,1828-01-01,1831-12-30
Federalist Party,Federalist Party,1833-01-01,1835-12-30
Federalist Party,Federalist Party,1837-01-01,1838-12-30
Federalist Party,Federalist Party,1840-01-01,1841-12-30
Federalist Party,Federalist Party,1845-01-01,1845-12-30
Pinckney's Treaty,Pinckney's Treaty,1795-01-01,1795-12-30
Pinckney's Treaty,Pinckney's Treaty,1844-01-01,1844-12-30
Women's Rights,Women's Rights,1795-01-01,1795-12-30
Women's Rights,Women's Rights,1831-01-01,1831-12-30
Courtship and Marriage of JQA and LCA,Courtship and Marriage of JQA and LCA,1796-01-01,1797-12-30
Courtship and Marriage of JQA and LCA,Courtship and Marriage of JQA and LCA,1844-01-01,1845-12-30
Court Life and Society,Court Life and Society,1797-01-01,1801-12-30
Court Life and Society,Court Life and Society,1809-01-01,1817-12-30
Diplomacy,Diplomacy,1797-01-01,1801-12-30
Diplomacy,Diplomacy,1808-01-01,1817-12-30
Diplomacy,Diplomacy,1830-01-01,1838-12-30
Diplomacy,Diplomacy,1843-01-01,1845-12-30
Diplomacy,Diplomacy,1847-01-01,1847-12-30
Elections,Elections,1797-01-01,1797-12-30
Elections,Elections,1801-01-01,1801-12-30
Elections,Elections,1807-01-01,1809-12-30
Elections,Elections,1812-01-01,1813-12-30
Elections,Elections,1816-01-01,1816-12-30
Elections,Elections,1818-01-01,1841-12-30
Elections,Elections,1843-01-01,1847-12-30
European,European,1797-01-01,1801-12-30
European,European,1809-01-01,1817-12-30
Industrialization,Industrialization,1797-01-01,1797-12-30
Industrialization,Industrialization,1810-01-01,1810-12-30
Industrialization,Industrialization,1819-01-01,1819-12-30
Industrialization,Industrialization,1821-01-01,1821-12-30
Industrialization,Industrialization,1824-01-01,1824-12-30
Industrialization,Industrialization,1826-01-01,1827-12-30
Presidential 1796,Presidential 1796,1797-01-01,1797-12-30
Steam Power,Steam Power,1797-01-01,1797-12-30
Steam Power,Steam Power,1812-01-01,1812-12-30
Steam Power,Steam Power,1814-01-01,1814-12-30
Steam Power,Steam Power,1817-01-01,1821-12-30
Steam Power,Steam Power,1823-01-01,1823-12-30
Steam Power,Steam Power,1826-01-01,1827-12-30
Steam Power,Steam Power,1829-01-01,1840-12-30
Steam Power,Steam Power,1843-01-01,1845-12-30
Steam Power,Steam Power,1847-01-01,1847-12-30
Territorial Expansion,Territorial Expansion,1797-01-01,1797-12-30
Territorial Expansion,Territorial Expansion,1818-01-01,1821-12-30
Territorial Expansion,Territorial Expansion,1826-01-01,1827-12-30
Territorial Expansion,Territorial Expansion,1835-01-01,1838-12-30
Territorial Expansion,Territorial Expansion,1842-01-01,1846-12-30
Foreign Relations,Foreign Relations,1798-01-01,1798-12-30
Foreign Relations,Foreign Relations,1808-01-01,1808-12-30
Foreign Relations,Foreign Relations,1810-01-01,1814-12-30
Foreign Relations,Foreign Relations,1816-01-01,1839-12-30
Foreign Relations,Foreign Relations,1843-01-01,1845-12-30
Quasi-War,Quasi-War,1798-01-01,1798-12-30
Quasi-War,Quasi-War,1830-01-01,1830-12-30
Quasi-War,Quasi-War,1837-01-01,1837-12-30
XYZ Affair,XYZ Affair,1798-01-01,1798-12-30
Prussian-American Treaty of Amity and Commerce,Prussian-American Treaty of Amity and Commerce,1799-01-01,1799-12-30
Prussian-American Treaty of Amity and Commerce,Prussian-American Treaty of Amity and Commerce,1832-01-01,1832-12-30
Convention of 1800,Convention of 1800,1800-01-01,1800-12-30
Textile Industry,Textile Industry,1800-01-01,1800-12-30
Textile Industry,Textile Industry,1810-01-01,1810-12-30
Textile Industry,Textile Industry,1818-01-01,1818-12-30
Textile Industry,Textile Industry,1824-01-01,1824-12-30
Textile Industry,Textile Industry,1827-01-01,1827-12-30
Family Finances (Adams Family),Family Finances (Adams Family),1801-01-01,1805-12-30
Family Finances (Adams Family),Family Finances (Adams Family),1807-01-01,1807-12-30
Family Finances (Adams Family),Family Finances (Adams Family),1809-01-01,1810-12-30
Family Finances (Adams Family),Family Finances (Adams Family),1812-01-01,1812-12-30
Family Finances (Adams Family),Family Finances (Adams Family),1816-01-01,1847-12-30
Presidential 1800,Presidential 1800,1801-01-01,1801-12-30
Democratic-Republican Party,Democratic-Republican Party,1803-01-01,1806-12-30
Democratic-Republican Party,Democratic-Republican Party,1808-01-01,1808-12-30
Democratic-Republican Party,Democratic-Republican Party,1818-01-01,1818-12-30
Democratic-Republican Party,Democratic-Republican Party,1822-01-01,1824-12-30
Democratic-Republican Party,Democratic-Republican Party,1830-01-01,1830-12-30
Democratic-Republican Party,Democratic-Republican Party,1832-01-01,1833-12-30
Democratic-Republican Party,Democratic-Republican Party,1835-01-01,1835-12-30
Louisiana Purchase,Louisiana Purchase,1803-01-01,1804-12-30
Louisiana Purchase,Louisiana Purchase,1806-01-01,1806-12-30
Louisiana Purchase,Louisiana Purchase,1811-01-01,1811-12-30
Louisiana Purchase,Louisiana Purchase,1814-01-01,1815-12-30
Louisiana Purchase,Louisiana Purchase,1817-01-01,1824-12-30
Louisiana Purchase,Louisiana Purchase,1827-01-01,1830-12-30
Louisiana Purchase,Louisiana Purchase,1835-01-01,1838-12-30
Louisiana Purchase,Louisiana Purchase,1844-01-01,1846-12-30
Science and Technology,Science and Technology,1803-01-01,1803-12-30
Science and Technology,Science and Technology,1817-01-01,1821-12-30
Science and Technology,Science and Technology,1823-01-01,1823-12-30
Science and Technology,Science and Technology,1825-01-01,1825-12-30
Science and Technology,Science and Technology,1827-01-01,1828-12-30
Science and Technology,Science and Technology,1830-01-01,1838-12-30
Science and Technology,Science and Technology,1843-01-01,1845-12-30
Science and Technology,Science and Technology,1847-01-01,1847-12-30
Supreme Court,Supreme Court,1803-01-01,1804-12-30
Supreme Court,Supreme Court,1806-01-01,1809-12-30
Supreme Court,Supreme Court,1811-01-01,1811-12-30
Supreme Court,Supreme Court,1818-01-01,1821-12-30
Supreme Court,Supreme Court,1823-01-01,1823-12-30
Supreme Court,Supreme Court,1826-01-01,1826-12-30
Supreme Court,Supreme Court,1828-01-01,1838-12-30
Supreme Court,Supreme Court,1840-01-01,1846-12-30
Impressment,Impressment,1804-01-01,1804-12-30
Impressment,Impressment,1807-01-01,1809-12-30
Impressment,Impressment,1812-01-01,1821-12-30
Impressment,Impressment,1823-01-01,1823-12-30
Impressment,Impressment,1827-01-01,1827-12-30
Impressment,Impressment,1829-01-01,1829-12-30
Impressment,Impressment,1842-01-01,1842-12-30
Articles of Confederation,Articles of Confederation,1805-01-01,1805-12-30
Articles of Confederation,Articles of Confederation,1831-01-01,1831-12-30
Articles of Confederation,Articles of Confederation,1836-01-01,1836-12-30
Articles of Confederation,Articles of Confederation,1839-01-01,1839-12-30
Internal Improvements,Internal Improvements,1805-01-01,1805-12-30
Internal Improvements,Internal Improvements,1807-01-01,1807-12-30
Internal Improvements,Internal Improvements,1818-01-01,1847-12-30
Boylston Professor of Rhetoric and Oratory,Boylston Professor of Rhetoric and Oratory,1806-01-01,1809-12-30
Boylston Professor of Rhetoric and Oratory,Boylston Professor of Rhetoric and Oratory,1811-01-01,1811-12-30
Boylston Professor of Rhetoric and Oratory,Boylston Professor of Rhetoric and Oratory,1816-01-01,1816-12-30
Boylston Professor of Rhetoric and Oratory,Boylston Professor of Rhetoric and Oratory,1830-01-01,1831-12-30
Boylston Professor of Rhetoric and Oratory,Boylston Professor of Rhetoric and Oratory,1833-01-01,1833-12-30
Boylston Professor of Rhetoric and Oratory,Boylston Professor of Rhetoric and Oratory,1835-01-01,1835-12-30
Boylston Professor of Rhetoric and Oratory,Boylston Professor of Rhetoric and Oratory,1844-01-01,1845-12-30
Napoleonic Wars,Napoleonic Wars,1806-01-01,1806-12-30
Napoleonic Wars,Napoleonic Wars,1812-01-01,1815-12-30
Napoleonic Wars,Napoleonic Wars,1831-01-01,1831-12-30
Napoleonic Wars,Napoleonic Wars,1833-01-01,1833-12-30
Napoleonic Wars,Napoleonic Wars,1837-01-01,1837-12-30
Napoleonic Wars,Napoleonic Wars,1843-01-01,1843-12-30
Reform Movements,Reform Movements,1806-01-01,1806-12-30
Reform Movements,Reform Movements,1813-01-01,1813-12-30
Reform Movements,Reform Movements,1824-01-01,1824-12-30
Reform Movements,Reform Movements,1835-01-01,1835-12-30
Reform Movements,Reform Movements,1837-01-01,1838-12-30
Reform Movements,Reform Movements,1841-01-01,1841-12-30
Reform Movements,Reform Movements,1844-01-01,1846-12-30
Chesapeake Affair,Chesapeake Affair,1807-01-01,1808-12-30
Chesapeake Affair,Chesapeake Affair,1812-01-01,1812-12-30
Chesapeake Affair,Chesapeake Affair,1839-01-01,1839-12-30
Continental System,Continental System,1807-01-01,1807-12-30
Continental System,Continental System,1810-01-01,1812-12-30
Continental System,Continental System,1815-01-01,1815-12-30
Embargo,Embargo,1807-01-01,1812-12-30
Embargo,Embargo,1833-01-01,1833-12-30
Embargo,Embargo,1843-01-01,1843-12-30
Presidential 1808,Presidential 1808,1807-01-01,1809-12-30
Caucus System,Caucus System,1808-01-01,1808-12-30
Caucus System,Caucus System,1820-01-01,1824-12-30
Caucus System,Caucus System,1840-01-01,1840-12-30
Essex Junto,Essex Junto,1808-01-01,1808-12-30
Essex Junto,Essex Junto,1830-01-01,1830-12-30
Essex Junto,Essex Junto,1833-01-01,1833-12-30
Orders in Council,Orders in Council,1808-01-01,1809-12-30
Orders in Council,Orders in Council,1811-01-01,1813-12-30
Orders in Council,Orders in Council,1815-01-01,1816-12-30
Press,Press,1808-01-01,1808-12-30
Press,Press,1817-01-01,1823-12-30
Press,Press,1830-01-01,1839-12-30
Press,Press,1843-01-01,1845-12-30
Press,Press,1847-01-01,1847-12-30
Blockades,Blockades,1809-01-01,1810-12-30
Blockades,Blockades,1813-01-01,1814-12-30
Blockades,Blockades,1818-01-01,1818-12-30
Blockades,Blockades,1822-01-01,1824-12-30
Blockades,Blockades,1827-01-01,1828-12-30
Latin American Wars of Independence,Latin American Wars of Independence,1810-01-01,1812-12-30
Latin American Wars of Independence,Latin American Wars of Independence,1816-01-01,1823-12-30
Latin American Wars of Independence,Latin American Wars of Independence,1825-01-01,1825-12-30
Latin American Wars of Independence,Latin American Wars of Independence,1830-01-01,1830-12-30
War of 1812,War of 1812,1811-01-01,1829-12-30
War of 1812,War of 1812,1831-01-01,1847-12-30
Canals,Canals,1812-01-01,1812-12-30
Canals,Canals,1818-01-01,1820-12-30
Canals,Canals,1824-01-01,1835-12-30
Canals,Canals,1838-01-01,1838-12-30
Canals,Canals,1843-01-01,1845-12-30
Presidential 1812,Presidential 1812,1812-01-01,1813-12-30
Presidential 1812,Presidential 1812,1820-01-01,1820-12-30
Presidential 1812,Presidential 1812,1828-01-01,1828-12-30
Anglo-American Definitive Peace Treaty,Anglo-American Definitive Peace Treaty,1814-01-01,1817-12-30
Anglo-American Definitive Peace Treaty,Anglo-American Definitive Peace Treaty,1831-01-01,1831-12-30
Anglo-American Definitive Peace Treaty,Anglo-American Definitive Peace Treaty,1836-01-01,1838-12-30
Anglo-American Definitive Peace Treaty,Anglo-American Definitive Peace Treaty,1840-01-01,1842-12-30
Anglo-American Definitive Peace Treaty,Anglo-American Definitive Peace Treaty,1845-01-01,1845-12-30
Hartford Convention,Hartford Convention,1814-01-01,1815-12-30
Hartford Convention,Hartford Convention,1828-01-01,1830-12-30
Hartford Convention,Hartford Convention,1833-01-01,1836-12-30
Hartford Convention,Hartford Convention,1840-01-01,1841-12-30
Hartford Convention,Hartford Convention,1845-01-01,1846-12-30
Sectionalism,Sectionalism,1814-01-01,1814-12-30
Sectionalism,Sectionalism,1816-01-01,1825-12-30
Sectionalism,Sectionalism,1828-01-01,1829-12-30
Sectionalism,Sectionalism,1838-01-01,1838-12-30
Sectionalism,Sectionalism,1841-01-01,1842-12-30
Treaty of Ghent,Treaty of Ghent,1814-01-01,1826-12-30
Treaty of Ghent,Treaty of Ghent,1828-01-01,1828-12-30
Treaty of Ghent,Treaty of Ghent,1830-01-01,1831-12-30
Treaty of Ghent,Treaty of Ghent,1833-01-01,1835-12-30
Treaty of Ghent,Treaty of Ghent,1837-01-01,1839-12-30
Treaty of Ghent,Treaty of Ghent,1842-01-01,1843-12-30
Treaty of Ghent,Treaty of Ghent,1845-01-01,1846-12-30
Presidential 1816,Presidential 1816,1816-01-01,1816-12-30
Presidential 1816,Presidential 1816,1822-01-01,1822-12-30
Presidential 1816,Presidential 1816,1824-01-01,1824-12-30
Unitarianism,Unitarianism,1816-01-01,1817-12-30
Unitarianism,Unitarianism,1821-01-01,1838-12-30
Unitarianism,Unitarianism,1843-01-01,1845-12-30
Unitarianism,Unitarianism,1847-01-01,1847-12-30
Adams-Onis Treaty,Adams-Onis Treaty,1817-01-01,1825-12-30
Adams-Onis Treaty,Adams-Onis Treaty,1838-01-01,1838-12-30
Adams-Onis Treaty,Adams-Onis Treaty,1844-01-01,1846-12-30
Colonization Movements,Colonization Movements,1817-01-01,1829-12-30
Colonization Movements,Colonization Movements,1831-01-01,1833-12-30
Colonization Movements,Colonization Movements,1835-01-01,1839-12-30
Colonization Movements,Colonization Movements,1841-01-01,1845-12-30
Immigration,Immigration,1817-01-01,1820-12-30
Mexican War of Independence,Mexican War of Independence,1817-01-01,1822-12-30
Mexican War of Independence,Mexican War of Independence,1843-01-01,1843-12-30
Oregon Country,Oregon Country,1817-01-01,1819-12-30
Oregon Country,Oregon Country,1821-01-01,1824-12-30
Oregon Country,Oregon Country,1826-01-01,1826-12-30
Oregon Country,Oregon Country,1828-01-01,1828-12-30
Oregon Country,Oregon Country,1839-01-01,1839-12-30
Oregon Country,Oregon Country,1842-01-01,1846-12-30
Seminole Wars,Seminole Wars,1817-01-01,1821-12-30
Seminole Wars,Seminole Wars,1824-01-01,1825-12-30
Seminole Wars,Seminole Wars,1830-01-01,1832-12-30
Seminole Wars,Seminole Wars,1839-01-01,1842-12-30
Seminole Wars,Seminole Wars,1844-01-01,1846-12-30
Utopian Communities,Utopian Communities,1817-01-01,1817-12-30
Utopian Communities,Utopian Communities,1819-01-01,1819-12-30
Utopian Communities,Utopian Communities,1824-01-01,1825-12-30
Utopian Communities,Utopian Communities,1844-01-01,1844-12-30
West,West,1817-01-01,1821-12-30
West,West,1827-01-01,1827-12-30
Asylum Movement,Asylum Movement,1818-01-01,1818-12-30
Asylum Movement,Asylum Movement,1832-01-01,1833-12-30
Asylum Movement,Asylum Movement,1840-01-01,1840-12-30
Convention of 1818,Convention of 1818,1818-01-01,1818-12-30
Florida Annexation,Florida Annexation,1818-01-01,1822-12-30
Florida Annexation,Florida Annexation,1830-01-01,1831-12-30
Florida Annexation,Florida Annexation,1838-01-01,1838-12-30
Florida Annexation,Florida Annexation,1844-01-01,1844-12-30
Panic of 1819,Panic of 1819,1818-01-01,1821-12-30
Presidential 1820,Presidential 1820,1818-01-01,1821-12-30
Presidential 1820,Presidential 1820,1845-01-01,1845-12-30
Roads,Roads,1818-01-01,1821-12-30
Roads,Roads,1824-01-01,1824-12-30
Roads,Roads,1826-01-01,1826-12-30
Roads,Roads,1830-01-01,1831-12-30
Roads,Roads,1834-01-01,1834-12-30
Roads,Roads,1836-01-01,1836-12-30
States Rights,States Rights,1818-01-01,1822-12-30
States Rights,States Rights,1824-01-01,1825-12-30
States Rights,States Rights,1827-01-01,1827-12-30
States Rights,States Rights,1829-01-01,1829-12-30
States Rights,States Rights,1835-01-01,1835-12-30
States Rights,States Rights,1838-01-01,1838-12-30
States Rights,States Rights,1840-01-01,1843-12-30
Anti-Slavery Movements,Anti-Slavery Movements,1819-01-01,1823-12-30
Anti-Slavery Movements,Anti-Slavery Movements,1831-01-01,1833-12-30
Anti-Slavery Movements,Anti-Slavery Movements,1835-01-01,1841-12-30
Anti-Slavery Movements,Anti-Slavery Movements,1843-01-01,1846-12-30
Emancipation,Emancipation,1819-01-01,1820-12-30
Emancipation,Emancipation,1822-01-01,1822-12-30
Emancipation,Emancipation,1826-01-01,1827-12-30
Emancipation,Emancipation,1831-01-01,1835-12-30
Emancipation,Emancipation,1837-01-01,1839-12-30
Emancipation,Emancipation,1843-01-01,1843-12-30
Emancipation,Emancipation,1847-01-01,1847-12-30
Missouri Compromise,Missouri Compromise,1819-01-01,1822-12-30
Missouri Compromise,Missouri Compromise,1824-01-01,1824-12-30
Missouri Compromise,Missouri Compromise,1827-01-01,1827-12-30
Missouri Compromise,Missouri Compromise,1832-01-01,1832-12-30
Missouri Compromise,Missouri Compromise,1835-01-01,1835-12-30
Missouri Compromise,Missouri Compromise,1837-01-01,1837-12-30
Presidential 1824,Presidential 1824,1819-01-01,1826-12-30
Presidential 1824,Presidential 1824,1828-01-01,1828-12-30
Presidential 1824,Presidential 1824,1831-01-01,1831-12-30
Presidential 1824,Presidential 1824,1845-01-01,1845-12-30
Slave Rebellions,Slave Rebellions,1819-01-01,1819-12-30
South,South,1819-01-01,1820-12-30
South,South,1831-01-01,1833-12-30
South,South,1835-01-01,1838-12-30
Suffrage,Suffrage,1819-01-01,1819-12-30
Suffrage,Suffrage,1827-01-01,1827-12-30
Fugitive Slave Laws,Fugitive Slave Laws,1820-01-01,1820-12-30
Fugitive Slave Laws,Fugitive Slave Laws,1822-01-01,1822-12-30
Fugitive Slave Laws,Fugitive Slave Laws,1838-01-01,1839-12-30
Fugitive Slave Laws,Fugitive Slave Laws,1841-01-01,1844-12-30
Nullification,Nullification,1820-01-01,1820-12-30
Nullification,Nullification,1830-01-01,1841-12-30
Pro-Slavery Movements,Pro-Slavery Movements,1820-01-01,1821-12-30
Texas Annexation,Texas Annexation,1820-01-01,1820-12-30
Texas Annexation,Texas Annexation,1838-01-01,1838-12-30
Texas Annexation,Texas Annexation,1841-01-01,1846-12-30
Second Great Awakening,Second Great Awakening,1821-01-01,1821-12-30
Era of Good Feelings,Era of Good Feelings,1823-01-01,1824-12-30
Era of Good Feelings,Era of Good Feelings,1831-01-01,1831-12-30
Monroe Doctrine,Monroe Doctrine,1823-01-01,1824-12-30
Corrupt Bargain,Corrupt Bargain,1824-01-01,1825-12-30
Corrupt Bargain,Corrupt Bargain,1827-01-01,1828-12-30
Corrupt Bargain,Corrupt Bargain,1830-01-01,1830-12-30
Corrupt Bargain,Corrupt Bargain,1844-01-01,1844-12-30
Railroads,Railroads,1826-01-01,1838-12-30
Railroads,Railroads,1843-01-01,1847-12-30
Telegraph,Telegraph,1826-01-01,1826-12-30
Telegraph,Telegraph,1841-01-01,1841-12-30
Anti-Masonic Party,Anti-Masonic Party,1827-01-01,1839-12-30
Anti-Masonic Party,Anti-Masonic Party,1841-01-01,1841-12-30
Presidential 1828,Presidential 1828,1827-01-01,1829-12-30
